case_id,xai_method,perturbation_percentile,original_logit,original_prob,deletion_logit,deletion_prob,deletion_prob_drop,deletion_logit_drop,insertion_logit,insertion_prob,insertion_prob_retained
topaneu_center1_mr_085,gradcam,1,-1.9679,0.1226,-1.4475,0.1904,-0.0678,-0.5204,-0.2214,0.4449,0.4449
topaneu_center1_mr_085,gradcam,5,-1.9679,0.1226,-0.4316,0.3938,-0.2711,-1.5363,-0.707,0.3303,0.3303
topaneu_center1_mr_085,gradcam,10,-1.9679,0.1226,-1.3094,0.2126,-0.09,-0.6585,-0.1871,0.4534,0.4534
topaneu_center1_mr_085,cross_attention,1,-1.9679,0.1226,4.8667,0.9924,-0.8697,-6.8346,-0.7556,0.3196,0.3196
topaneu_center1_mr_085,cross_attention,5,-1.9679,0.1226,-1.2723,0.2189,-0.0963,-0.6956,0.1695,0.5423,0.5423
topaneu_center1_mr_085,cross_attention,10,-1.9679,0.1226,-1.6931,0.1554,-0.0327,-0.2748,0.7708,0.6837,0.6837
topaneu_center1_mr_085,integrated_gradients,1,-1.9679,0.1226,1.3009,0.786,-0.6634,-3.2688,0.8638,0.7035,0.7035
topaneu_center1_mr_085,integrated_gradients,5,-1.9679,0.1226,-1.4705,0.1869,-0.0643,-0.4974,0.8688,0.7045,0.7045
topaneu_center1_mr_085,integrated_gradients,10,-1.9679,0.1226,-0.038,0.4905,-0.3679,-1.9299,2.0411,0.885,0.885
topaneu_center1_mr_085,random_control,1,-1.9679,0.1226,-1.9398,0.1257,-0.0031,-0.0281,-1.7261,0.1511,0.1511
topaneu_center1_mr_085,random_control,5,-1.9679,0.1226,-1.962,0.1233,-0.0006,-0.0059,-1.6766,0.1575,0.1575
topaneu_center1_mr_085,random_control,10,-1.9679,0.1226,-1.9776,0.1216,0.001,0.0097,-1.9642,0.123,0.123
topaneu_center1_mr_113,gradcam,1,-1.2817,0.2173,-0.8123,0.3074,-0.0901,-0.4694,-1.6745,0.1578,0.1578
topaneu_center1_mr_113,gradcam,5,-1.2817,0.2173,-0.0926,0.4769,-0.2596,-1.1891,-0.9628,0.2763,0.2763
topaneu_center1_mr_113,gradcam,10,-1.2817,0.2173,-0.6538,0.3421,-0.1249,-0.628,0.4524,0.6112,0.6112
topaneu_center1_mr_113,cross_attention,1,-1.2817,0.2173,-1.4987,0.1826,0.0346,0.217,0.0647,0.5162,0.5162
topaneu_center1_mr_113,cross_attention,5,-1.2817,0.2173,0.0018,0.5005,-0.2832,-1.2835,1.5861,0.8301,0.8301
topaneu_center1_mr_113,cross_attention,10,-1.2817,0.2173,-0.0986,0.4754,-0.2581,-1.1831,1.7545,0.8525,0.8525
topaneu_center1_mr_113,integrated_gradients,1,-1.2817,0.2173,-1.6905,0.1557,0.0616,0.4088,0.7155,0.6716,0.6716
topaneu_center1_mr_113,integrated_gradients,5,-1.2817,0.2173,-0.1562,0.461,-0.2438,-1.1255,0.5577,0.6359,0.6359
topaneu_center1_mr_113,integrated_gradients,10,-1.2817,0.2173,-1.0209,0.2649,-0.0476,-0.2608,1.1176,0.7535,0.7535
topaneu_center1_mr_113,random_control,1,-1.2817,0.2173,-1.1818,0.2347,-0.0175,-0.0999,-1.7788,0.1444,0.1444
topaneu_center1_mr_113,random_control,5,-1.2817,0.2173,-1.1736,0.2362,-0.0189,-0.1081,-1.2947,0.2151,0.2151
topaneu_center1_mr_113,random_control,10,-1.2817,0.2173,-0.915,0.286,-0.0687,-0.3667,-0.9149,0.286,0.286
topaneu_center1_mr_129,gradcam,1,2.9332,0.9495,2.9071,0.9482,0.0013,0.0261,-0.8998,0.2891,0.2891
topaneu_center1_mr_129,gradcam,5,2.9332,0.9495,2.8042,0.9429,0.0066,0.1289,4.5803,0.9899,0.9899
topaneu_center1_mr_129,gradcam,10,2.9332,0.9495,2.4624,0.9215,0.028,0.4707,-1.5987,0.1682,0.1682
topaneu_center1_mr_129,cross_attention,1,2.9332,0.9495,-0.2728,0.4322,0.5172,3.206,0.1419,0.5354,0.5354
topaneu_center1_mr_129,cross_attention,5,2.9332,0.9495,-0.4389,0.392,0.5574,3.372,0.5294,0.6294,0.6294
topaneu_center1_mr_129,cross_attention,10,2.9332,0.9495,-0.3958,0.4023,0.5471,3.3289,0.5861,0.6425,0.6425
topaneu_center1_mr_129,integrated_gradients,1,2.9332,0.9495,-0.2364,0.4412,0.5083,3.1696,0.4689,0.6151,0.6151
topaneu_center1_mr_129,integrated_gradients,5,2.9332,0.9495,-0.6589,0.341,0.6085,3.5921,0.4523,0.6112,0.6112
topaneu_center1_mr_129,integrated_gradients,10,2.9332,0.9495,-1.9867,0.1206,0.8289,4.9198,1.692,0.8445,0.8445
topaneu_center1_mr_129,random_control,1,2.9332,0.9495,3.0148,0.9532,-0.0038,-0.0817,-1.5052,0.1817,0.1817
topaneu_center1_mr_129,random_control,5,2.9332,0.9495,3.0182,0.9534,-0.0039,-0.0851,-1.2842,0.2168,0.2168
topaneu_center1_mr_129,random_control,10,2.9332,0.9495,2.7079,0.9375,0.012,0.2252,1.3012,0.786,0.786
topaneu_center1_mr_148,gradcam,1,0.6291,0.6523,0.563,0.6372,0.0151,0.0661,1.9617,0.8767,0.8767
topaneu_center1_mr_148,gradcam,5,0.6291,0.6523,0.8256,0.6954,-0.0431,-0.1965,-0.0661,0.4835,0.4835
topaneu_center1_mr_148,gradcam,10,0.6291,0.6523,1.0555,0.7418,-0.0895,-0.4264,0.1326,0.5331,0.5331
topaneu_center1_mr_148,cross_attention,1,0.6291,0.6523,-1.4862,0.1845,0.4678,2.1153,-0.1174,0.4707,0.4707
topaneu_center1_mr_148,cross_attention,5,0.6291,0.6523,-0.5002,0.3775,0.2748,1.1294,0.8622,0.7031,0.7031
topaneu_center1_mr_148,cross_attention,10,0.6291,0.6523,-0.2123,0.4471,0.2052,0.8414,-0.5879,0.3571,0.3571
topaneu_center1_mr_148,integrated_gradients,1,0.6291,0.6523,-0.8418,0.3011,0.3511,1.471,0.1392,0.5348,0.5348
